name,rating,date,text
R***b,5,2024-05-20,"sesuai deskripsi, udh 3x belanja disini dan tidak mengecewakan"
A***e,5,2025-04-29,"sesuai pesanan, proses dan pengiriman cepat, terimakasih"
M***a,3,2024-05-20,"pesannya tutup oli mesin, yg di kirim tutup oli gardan buat yamaha"
Ilham,5,2024-05-20,"Good condition, produk blm d pasang semoga cocok dan ga ada kendala, makasih udah d kasih bonus gantungan kunci
packing safety
ntr d update lagi kalo udah d pasang"
Rizki,5,2024-05-20,kalo ada indikator stick nya lebih bagus ini
Q***n,5,2025-04-29,"Kereeeeen
Kualitas pengerjaan: Baguuuuuss
Bahan: Mantaaaaap"
E***o,1,2025-04-20,"Barang tidak cocok di nmax neo, pas live di tanya katanya cocok.
Oli ngerembes, penjual juga tidak memberikan solusi, sangat di sayangkan kualitas produknya"
Arif,5,2024-05-20,"barang bagus dan sesuai pesanan
biarkan bintang yg berbicara 😁"
Pramudya,5,2024-05-20,"pengiriman cepat, barang sudah sampai dengan selamat"
Roney,5,2025-03-21,sudah menjadi langganan... kualitas yang bagus
S***l,5,2024-05-20,tutup olinya bagus bahan cnc tebal
O***d,5,2025-05-06,Alhamdulillah paket barangnya udh sampe di rumah saya sesuai barangnya dan sangat bagus
Ajie,5,2024-05-20,"barang lumayan bagus..
good seller"
wildan,5,2024-07-24,"2 kata saja : maju terus lokal pride sukes selalu !! 
( lebih dari 2 kata ***** )"
Noer,5,2024-05-20,barang bagus dan seller fast respon
budi,5,2024-06-24,terpasang sempurna di pcx 150 👍...........
V***y,5,2024-05-20,pesanan di terima bagus beserta seal karetnya
E***o,5,2024-05-20,"belum di pasang, semog pas buat motor xeon"
A***d,5,2024-06-24,ORI sesuai gambar dan deskripsi
Antok,5,2024-09-22,"sesuai......., bagus......,mantab.....,fast respon"
F***n,5,2024-05-20,barang sesuai & mantap betul barangnya
Syahrul,5,2024-05-20,"Barang udah sampe, tapi belum di lihat, semoga sesuai ekspektasi & deskripsi ♥️"
hendrayana,5,2024-05-20,"joss
menyala saat motor kotor banget"
Melz,1,2024-05-20,pesen buat yamaha. ternyata ga bisa di pasang. drat nya beda.
Hogy,5,2024-05-20,admin ramah sesuai ekspektasi mantap
Alfian,1,2024-05-20,"1. bilangnya pnp xmax ternyata tidak.
2. proses refund di persulitkan
3. segera perbaiki layanannya agar tidak merugikan customer. 
sekian. terimagaji 🙏"
Ahmad,5,2024-05-20,"barang bagus, sesuai dengan foto"
Ismail,5,2024-05-20,"Worthit sihh,penguriman dan barang oke bngget dah"
Idan,5,2024-05-20,"Bagus bgt partnya tebel, mudah²an awet.
Thanks ARUMI motorpart."
Antok,5,2024-09-22,"sesuai......., bagus......,mantab.....,fast respon"
F***n,5,2024-05-20,barang sesuai & mantap betul barangnya
Syahrul,5,2024-05-20,"Barang udah sampe, tapi belum di lihat, semoga sesuai ekspektasi & deskripsi ♥️"
hendrayana,5,2024-05-20,"joss
menyala saat motor kotor banget"
Melz,1,2024-05-20,pesen buat yamaha. ternyata ga bisa di pasang. drat nya beda.
Hogy,5,2024-05-20,admin ramah sesuai ekspektasi mantap
Alfian,1,2024-05-20,"1. bilangnya pnp xmax ternyata tidak.
2. proses refund di persulitkan
3. segera perbaiki layanannya agar tidak merugikan customer. 
sekian. terimagaji 🙏"
Ahmad,5,2024-05-20,"barang bagus, sesuai dengan foto"
Ismail,5,2024-05-20,"Worthit sihh,penguriman dan barang oke bngget dah"
Idan,5,2024-05-20,"Bagus bgt partnya tebel, mudah²an awet.
Thanks ARUMI motorpart."
S***o,5,2024-05-20,Pengiriman cepet bgt. Jadi ganteng sudah pasti. Mantap dah 🔥
Dhany,1,2024-05-20,"Saya tidak menerima barang yang saya beli... Dari 3 pcs barang, hanya terima 2 pcs barang..."
Ramanda,5,2024-05-20,barang sesuai pesanan dan dproses cepat
BACOT,5,2024-05-20,Tidak pernah mengecewakan memang ARM 😁
W***g,5,2025-05-13,"Mantapp pengiriman dari salatiga cma 1 hari ke tangerang Ciledug
Maju terus arm😇😎"
Amaz,4,2024-05-20,ga ada stikernya tp barang oke
Hegi,5,2024-05-20,Sesuai dengan deskripsi. Produknya bagus no baret baret. Saya liat proses pembuatannya pun pake mesin full CNC. Bagi teman2 yang penasaran dengan produknya bisa cek di channel youtube saya Hegi Eswe. Bisa follow juga ig saya Hegi Eswe. Thanks :)
